127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/css/web2py.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/css/bootstrap.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/css/bootstrap-responsive.min.css, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/css/web2py_bootstrap.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/js/web2py.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/js/bootstrap.min.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/js/web2py_bootstrap.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/js/share.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/images/twitter.png, HTTP/1.1, 304, 0.000000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/images/facebook.png, HTTP/1.1, 304, 0.002000
127.0.0.1, 2015-03-04 05:37:03, GET, /artfweb/static/images/gplus-32.png, HTTP/1.1, 304, 0.001000
127.0.0.1, 2015-03-04 05:37:40, GET, /appadmin, HTTP/1.1, 200, 0.028000
127.0.0.1, 2015-03-04 05:37:40, GET, /appadmin/hooks, HTTP/1.1, 200, 0.032000
127.0.0.1, 2015-03-04 05:37:45, GET, /, HTTP/1.1, 200, 0.020000
127.0.0.1, 2015-03-04 05:37:47, GET, /admin/site, HTTP/1.1, 200, 0.033000
127.0.0.1, 2015-03-04 05:37:47, GET, /admin/static/_2.9.12/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.180000
